Año,Mes,Ingresos Totales Predichos
2026,Enero,329842491.0
2026,Febrero,302455128.0
2026,Marzo,329842491.0
2026,Abril,302455128.0
2026,Mayo,302455128.0
2026,Junio,302455128.0
2026,Julio,312728293.0
2026,Agosto,312728293.0
2026,Septiembre,302455128.0
2026,Octubre,312728293.0
2026,Noviembre,312728293.0
2026,Diciembre,329842491.0
