Año,Mes,Ingresos Totales Predichos
2026,Enero,314519580.48
2026,Febrero,296484897.64
2026,Marzo,308957052.14
2026,Abril,306802560.84
2026,Mayo,307883858.84
2026,Junio,299504539.36
2026,Julio,311165723.5
2026,Agosto,313944793.4
2026,Septiembre,309088388.28
2026,Octubre,315437705.14
2026,Noviembre,312151612.38
2026,Diciembre,317784195.9
